trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,4832.577900029719,1970.2880000695586,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
2,8579.357400070876,1564.9601998738945,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
3,11941.073900088668,1269.4180998951197,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.3
4,15606.063700048253,1707.4782999698073,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.3
5,19794.914100086316,1563.5790000669658,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.3
6,24371.833800105378,3239.1562999691814,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.3
7,29615.3565000277,2187.730200123042,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.3
8,35689.02779999189,3756.2595000490546,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.3
9,41492.19619994983,2509.7183000762016,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.3
10,46921.8842999544,3655.80500010401,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.3
11,53113.47860004753,5702.599399955943,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.3
12,61547.954299952835,3974.8194999992847,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.3
13,68343.72110012919,4098.249200033024,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.349609375
14,74182.34420008957,1476.9331999123096,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.250390625
15,78069.99370013364,3023.3662000391632,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.349609375
16,84223.70510012843,3477.8666999191046,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.349609375
17,89529.84210010618,2609.036299865693,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.3
18,95077.1306999959,9153.803100110963,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.3
19,106278.10170012526,4557.119200006127,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.3
20,113706.25889999792,4683.002700097859,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.3
21,120115.06860004738,inf,False,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.39921874999999996
22,126560.42540003546,4924.008900066838,False,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.349609375
23,133942.68269999884,3251.1603001039475,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.344140625
24,139564.96270000935,2031.5684999804944,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.30000000000000004
25,144455.6766001042,7046.480400022119,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.39921874999999996
26,153454.74850013852,2787.466999841854,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.416015625
27,157939.98840008862,6821.74040004611,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.349609375
28,166563.60830017366,3733.379199868068,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.39921874999999996
29,172855.9091000352,inf,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.349609375
30,180656.1603001319,3177.2524998523295,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.4488281249999999
31,186982.3809999507,6173.1522001791745,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.39374999999999993
32,195702.40520010702,4322.7804999332875,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.41640625
33,201744.18839998543,3710.34980006516,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.44999999999999996
34,207244.84920012765,3041.6914999950677,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.43476562499999993
35,212701.9609999843,3463.802000042051,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.39921874999999996
36,217902.35140011646,5670.273500028998,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.39921874999999996
37,226298.18459996022,2173.161700135097,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.344140625
38,230805.10550015606,2770.168899791315,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
39,236094.2085001152,3127.2493000142276,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4351562499999999
40,241664.2222001683,6432.4825999792665,False,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
41,250548.5046999529,3075.6934999953955,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.451171875
42,255644.3165000528,6101.4785000588745,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.4488281249999999
43,264659.73339998163,inf,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.43867187499999993
44,270368.14830009826,3620.6694999709725,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.45195312499999996
45,275672.8541001212,2943.9361998811364,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.45781249999999996
46,281501.11189996824,4175.466899992898,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
47,288034.7770000808,3659.4433998689055,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4472656249999999
48,294308.9262000285,4315.660299966112,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
49,300415.57910013944,10527.457799995318,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.46328125
50,313685.7172001619,3964.477099943906,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.349609375
51,320260.00510016456,5398.722399957478,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.4765625
52,327360.6614000164,3520.928400103003,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.47578125000000004
53,332784.58820004016,7636.985599994659,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.482421875
54,342121.859600069,3046.870799968019,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.487890625
55,347526.41070005484,3270.031600026414,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4843749999999999
56,353490.50460010767,3523.6430999357253,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.5261718750000001
57,358752.94030015357,5643.695499980822,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.349609375
58,366109.4639999792,inf,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5023437500000001
59,374282.1129001677,3113.197899889201,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.5367187500000001
60,379129.04640007764,3052.5326998904347,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.4886718750000001
61,384090.56730009615,5835.3529998566955,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.5375000000000001
62,392335.25380003266,3274.637300055474,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.38671875
63,398065.29340008274,3147.365199867636,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4941406249999999
64,403677.0502999425,4713.694900041446,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.5558593750000002
65,410739.61700010113,2767.4215000588447,False,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.5402343750000002
66,415877.01719999313,2890.68750012666,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5019531250000001
67,421873.1329999864,5944.210600107908,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.5679687500000002
68,429585.87890001945,3158.4485000930727,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.49765625
69,434535.96310014836,7893.610599916428,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.39921874999999996
70,444816.3187999744,3744.5382999721915,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4992187499999998
71,451141.06860011816,3704.277199925855,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.5808593750000003
72,457293.0523001123,inf,False,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.5648437500000002
73,468135.2034001611,2733.912699855864,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.374609375
74,473449.8871001415,5535.610399907455,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5445312500000001
75,480769.9272001628,inf,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.6304687500000004
76,491868.41400014237,6256.070700008422,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6144531250000003
77,499929.08150004223,5184.385400032625,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.6707031250000005
78,507919.3085001316,3964.4986998755485,False,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6250000000000002
79,513674.4709000923,3607.0912999566644,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.6828125000000006
80,518980.54400016554,4101.046699797735,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5691406250000002
81,526120.247800136,3303.39020001702,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.398828125
82,531851.2399001047,5669.045199872926,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.6925781250000006
83,539223.3019999694,4176.57330003567,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6339843750000002
84,545122.5668000989,3201.5509998891503,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.488671875
85,550139.3432000186,5765.840100124478,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7234375000000006
86,558128.2411001157,2183.7144000455737,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5687500000000002
87,563185.3337001521,2378.1855998095125,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7230468750000006
88,567435.9210000839,3310.772500000894,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.49882812499999984
89,573227.7401001193,2485.67819991149,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6335937500000002
90,577564.2950001638,2328.3449998125434,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7226562500000007
91,581856.0752000194,4017.202600138262,False,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.38749999999999996
92,589161.6893000901,2453.2113999594003,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7105468750000007
93,593376.9474001601,2360.1035999599844,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5746093750000002
94,597639.3943000585,2444.6409000083804,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6332031250000002
95,601849.3453999981,4167.898599989712,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.343359375
96,609694.4414000027,2299.753800034523,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.6609375000000006
97,614129.5215999708,inf,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.29374999999999996
98,624331.5417000558,3011.402300093323,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6406250000000002
99,629095.6943000201,8282.61739993468,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5929687500000003
100,639131.4388001338,3520.160299958661,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4992187499999998
101,645643.1325001176,3365.1663998607546,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.49453125
102,650833.207000047,inf,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.4234375
103,657641.0636999644,2962.565400172025,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6300781250000003
104,662240.6685999595,2283.0405000131577,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.5925781250000003
105,667543.7062000856,4238.963000010699,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.6613281250000006
106,673864.962000167,3213.0342999007553,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.37187500000000007
107,679665.3970000334,2703.869800083339,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.3628906249999999
108,684735.4771001264,2842.268999898806,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6304687500000002
109,689279.0379000362,3759.3066999688745,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7109375000000007
110,694749.6094000526,7613.492300035432,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6359375000000004
111,704933.6608001031,3555.806600023061,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7238281250000006
112,710211.7504000198,3067.38070002757,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6480468750000005
113,716115.1217001025,3414.182099979371,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7343750000000007
114,721454.1156999767,3385.8052000869066,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.5113281249999998
115,727257.8388999682,3169.721100013703,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7378906250000007
116,732279.6682000626,3456.4227999653667,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6601562500000006
117,738939.6322001703,4442.868899786845,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6332031250000002
118,745119.9839999899,3048.9833999890834,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7578125000000008
119,750020.026100101,2880.5227000266314,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.41132812500000004
120,755228.1005999539,8399.698900058866,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6722656250000006
121,765461.2946000416,4124.858800088987,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7824218750000008
122,771296.3905001525,3158.9404998812824,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.486328125
123,776285.3751000948,2973.0888998601586,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7945312500000009
124,781245.3056001104,3449.5097999460995,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6906250000000007
125,787567.229000153,3004.9346999730915,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7980468750000008
126,792345.6548000686,3765.098199946806,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6460937500000002
127,797870.4946001526,2568.579699844122,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7875000000000008
128,802127.954200143,2196.031899889931,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6902343750000007
129,807245.4653000459,1945.9947000723332,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.29375000000000007
130,811952.8646001127,2277.492499910295,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7871093750000008
131,815996.2840001099,4069.516299990937,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.5203124999999998
132,822415.5158000067,3928.317200159654,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6589843750000003
133,828598.6532000825,2341.695300070569,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6898437500000008
134,833736.200600164,2462.3491999227554,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7796875000000008
135,837897.8279000148,2848.004400031641,False,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6820312500000003
136,843032.126000151,2667.9789000190794,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7800781250000007
137,847565.8650000114,2390.194100094959,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.6402343750000007
138,852975.7312999573,4056.069500045851,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6855468750000003
139,860008.2870000042,2476.3793000020087,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7421875000000008
140,870028.6509001162,2594.277599826455,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.25664062499999996
141,875106.2166001648,2833.7501999922097,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.6851562500000004
142,880074.5492000133,3553.8674001581967,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.5214843749999999
143,886302.6773999445,3199.936600169167,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.48671875
144,891494.1665001679,2033.894799882546,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.7261718750000007
145,895904.4332001358,2985.864399932325,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.370703125
146,901361.3607001025,3863.3759999647737,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.7347656250000004

